Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/terms/NoSQL,8,8,4100.0,4093.673912502709,4065.517999988515,4112.017899984494,0.0,0.04472346351316381,0.04472346351316381,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/OAuth,36,36,4100.0,4095.0123027756085,4067.611599981319,4116.589199984446,0.0,0.20125558580923714,0.20125558580923714,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/OAuth,3,3,4100.0,4100.981233331065,4090.408199990634,4106.620199978352,0.0,0.016771298817436428,0.016771298817436428,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/PostgreSQL,29,29,4100.0,4090.3767275860823,4064.2487999866717,4114.342199987732,0.0,0.1621225552352188,0.1621225552352188,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/PostgreSQL,4,4,4109.838199976366,4112.492125001154,4109.838199976366,4117.176400031894,0.0,0.022361731756581904,0.022361731756581904,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/Protobuf,34,34,4100.0,4096.013600010124,4076.935700024478,4118.689100025222,0.0,0.19007471993094618,0.19007471993094618,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/Protobuf,4,4,4100.0,4094.8345249926206,4059.671700000763,4113.630699983332,0.0,0.022361731756581904,0.022361731756581904,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/REST,36,36,4100.0,4095.627955555554,4069.5259000058286,4118.365599948447,0.0,0.20125558580923714,0.20125558580923714,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/REST,5,5,4100.0,4091.928060015198,4069.283200020436,4110.098499979358,0.0,0.02795216469572738,0.02795216469572738,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/Redis,32,32,4100.0,4093.3901343742036,4061.289100034628,4118.152400013059,0.0,0.17889385405265523,0.17889385405265523,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/Redis,4,4,4100.0,4097.972524992656,4086.698100029025,4109.778099984396,0.0,0.022361731756581904,0.022361731756581904,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
