Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/terms/SSL,16,16,4100.0,4096.977150005841,4067.9840000229888,4111.6150000016205,0.0,0.2687191019105835,0.2687191019105835,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/SSL,3,3,4100.0,4089.819599990733,4075.5325999925844,4108.118699979968,0.0,0.050384831608234405,0.050384831608234405,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/TCP,27,27,4100.0,4095.336225918598,4073.517900018487,4117.334200011101,0.0,0.45346348447410967,0.45346348447410967,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/TCP,1,1,4109.143999987282,4109.143999987282,4109.143999987282,4109.143999987282,0.0,0.01679494386941147,0.01679494386941147,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/TLS,13,13,4100.0,4101.543284621304,4078.5167000140063,4113.8576999655925,0.0,0.21833427030234911,0.21833427030234911,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/TLS,2,2,4092.4468000303023,4087.1845500078052,4081.922299985308,4092.4468000303023,0.0,0.03358988773882294,0.03358988773882294,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/UDP,22,22,4100.0,4101.161759087435,4066.960599971935,4114.331400021911,0.0,0.3694887651270523,0.3694887651270523,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/UDP,4,4,4100.0,4103.147749992786,4091.124199971091,4110.295599966776,0.0,0.06717977547764588,0.06717977547764588,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/WebSocket,23,23,4100.0,4095.9068608682846,4077.128899982199,4112.824499956332,0.0,0.3862837089964638,0.3862837089964638,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/WebSocket,6,6,4100.0,4093.782533328825,4077.610599983018,4110.738000017591,0.0,0.10076966321646881,0.10076966321646881,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/XML,19,19,4100.0,4102.776957893328,4074.8480000183918,4212.243899994064,0.0,0.31910393351881794,0.31910393351881794,4100,4100,4100,4100,4100,4200,4200,4200,4200,4200,4200
PUT,/terms/XML,2,2,4099.625400034711,4096.860150020802,4094.094900006894,4099.625400034711,0.0,0.03358988773882294,0.03358988773882294,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/gRPC,15,15,4100.0,4099.682500003837,4069.2419999977574,4112.216099980287,0.0,0.251924158041172,0.251924158041172,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/gRPC,4,4,4102.085099963006,4109.34694999014,4102.085099963006,4114.407900022343,0.0,0.06717977547764588,0.06717977547764588,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,1586,1586,4100.0,4416.358655233034,4060.5838000192307,32075.269300024956,0.0,26.63678097688659,26.63678097688659,4100,4100,4100,4100,4100,4100,4100,32000,32000,32000,32000
